"","borough","neighborhood","building_class_category","tax_class_at_present","block","lot","building_class_at_present","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date"
"1","bronx","Bathgate","01 One Family Dwellings","1",3030,66,"A1","4453 Park Avenue",NA,10457,1,0,1,1646,1497,1899,"1","A1",215000,2023-04-18
"2","bronx","Bathgate","01 One Family Dwellings","1",3030,66,"A1","4453 Park Avenue",NA,10457,1,0,1,1646,1497,1899,"1","A1",570000,2023-08-23
"3","bronx","Bathgate","02 Two Family Dwellings","1",2904,22,"B9","454 East 172 Street",NA,10457,2,0,2,1658,1428,1901,"1","B9",350000,2023-06-26
"4","bronx","Bathgate","02 Two Family Dwellings","1",2904,22,"B9","454 East 172nd Street",NA,10457,2,0,2,1658,1428,1901,"1","B9",310000,2023-08-14
"5","bronx","Bathgate","02 Two Family Dwellings","1",2912,144,"B1","3813 3 Avenue",NA,10457,2,0,2,2000,2400,1993,"1","B1",763000,2023-09-07
"6","bronx","Bathgate","02 Two Family Dwellings","1",2912,151,"B1","519 East 171 Street",NA,10457,2,0,2,2000,2400,1993,"1","B1",750000,2023-05-18
"7","bronx","Bathgate","02 Two Family Dwellings","1",2927,125,"B1","1477 Crotona Place",NA,10456,2,0,2,1900,2394,1994,"1","B1",820000,2023-11-17
"8","bronx","Bathgate","02 Two Family Dwellings","1",2929,114,"B1","3854 3 Avenue",NA,10457,2,0,2,2883,2394,1995,"1","B1",815000,2023-06-07
"9","bronx","Bathgate","02 Two Family Dwellings","1",3035,139,"B1","1985 Washington Avenue",NA,10457,2,0,2,2910,2340,1998,"1","B1",750000,2023-07-14
"10","bronx","Bathgate","02 Two Family Dwellings","1",3039,106,"B1","442 East 185 Street",NA,10458,2,0,2,1500,2400,1997,"1","B1",698700,2023-07-28
"11","bronx","Bathgate","02 Two Family Dwellings","1",3045,16,"B3","2060 Bathgate Avenue",NA,10457,2,0,2,1429,1872,1910,"1","B3",650000,2023-06-02
"12","bronx","Bathgate","02 Two Family Dwellings","1",3045,17,"B2","2064 Bathgate Avenue",NA,10457,2,0,2,3493,2508,1910,"1","B2",693500,2023-08-17
"13","bronx","Bathgate","02 Two Family Dwellings","1",3046,52,"B3","2047 Bathgate Avenue",NA,10457,2,0,2,2329,1431,1901,"1","B3",57000,2023-10-26
"14","bronx","Bathgate","03 Three Family Dwellings","1",3031,145,"C0","412 East 187",NA,10458,3,0,3,1784,2302,2004,"1","C0",9e+05,2023-10-26
"15","bronx","Bathgate","03 Three Family Dwellings","1",3041,9,"C0","448 Cyrus Place",NA,10458,3,0,3,2500,1960,1910,"1","C0",620000,2023-09-12
"16","bronx","Bathgate","07 Rentals - Walkup Apartments","2B",2924,6,"C1","1874 Bathgate Avenue",NA,10457,7,0,7,1628,5184,1931,"2","C1",890000,2023-09-21
"17","bronx","Bathgate","07 Rentals - Walkup Apartments","2A",3036,53,"C3","2037 Washington Avenue",NA,10457,4,0,4,7250,4187,1899,"2","C3",25000,2023-04-13
"18","bronx","Bathgate","07 Rentals - Walkup Apartments","2",3048,55,"C1","N/A East 181 Street",NA,10457,28,0,28,4681,16377,2021,"2","C1",2194364,2023-02-16
"19","bronx","Bathgate","22 Store Buildings","4",3052,11,"K1","4551 Third Avenue",NA,10458,0,3,3,5483,2680,1924,"4","K1",2050000,2023-12-21
"20","bronx","Bathgate","29 Commercial Garages","4",3044,73,"G2","4309 3 Avenue",NA,10457,0,1,1,8288,16380,1931,"4","G2",4300000,2023-09-14
"21","bronx","Bathgate","29 Commercial Garages","4",3050,69,"G9","502 East 183 Street",NA,10458,0,4,4,4027,2400,1901,"4","G9",575000,2023-04-27
"22","bronx","Bathgate","30 Warehouses","4",2899,34,"E1","407 East 174 Street",NA,10457,0,1,1,3439,3320,1955,"4","E1",985000,2023-06-14
"23","bronx","Bathgate","30 Warehouses","4",3038,45,"E1","449 E 182nd Street",NA,10457,0,1,1,9942,9800,1989,"4","E1",2100000,2023-05-11
"24","bronx","Baychester","01 One Family Dwellings","1",4706,32,"A2","3540 Laconia Avenue",NA,10469,1,0,1,2500,1052,1935,"1","A2",355000,2023-09-27
"25","bronx","Baychester","01 One Family Dwellings","1",4707,61,"A5","1112 East 213th St",NA,10469,1,0,1,1735,1512,1950,"1","A5",590000,2023-02-10
"26","bronx","Baychester","01 One Family Dwellings","1",4710,8,"A5","1115 East 215 Street",NA,10469,1,0,1,1710,1798,1945,"1","A5",550000,2023-07-28
"27","bronx","Baychester","01 One Family Dwellings","1",4715,62,"A9","1120 E. 221st Street",NA,10469,1,0,1,1746,1690,1950,"1","A9",670000,2023-04-20
"28","bronx","Baychester","01 One Family Dwellings","1",4722,65,"A2","1478 Hicks Street",NA,10469,1,0,1,2375,2024,1910,"1","A2",575000,2023-11-03
"29","bronx","Baychester","01 One Family Dwellings","1",4734,77,"A5","1286 Givan Ave",NA,10469,1,0,1,1904,1280,1955,"1","A5",553000,2023-06-12
"30","bronx","Baychester","01 One Family Dwellings","1",4735,45,"A5","3328 Wilson Avenue",NA,10469,1,0,1,1900,1254,1930,"1","A5",525000,2023-11-09
"31","bronx","Baychester","01 One Family Dwellings","1",4740,47,"A5","3236 Fish Avenue",NA,10469,1,0,1,2500,1736,1935,"1","A5",6e+05,2023-12-22
"32","bronx","Baychester","01 One Family Dwellings","1",4742,33,"A5","3212 Fenton Avenue",NA,10469,1,0,1,2050,1280,1920,"1","A5",375026,2023-12-15
"33","bronx","Baychester","01 One Family Dwellings","1",4742,50,"A5","3246 Fenton Avenue",NA,10469,1,0,1,2050,1340,1920,"1","A5",475000,2023-04-10
"34","bronx","Baychester","01 One Family Dwellings","1",4743,29,"A5","3309 Eastchester Road",NA,10469,1,0,1,1800,1782,1950,"1","A5",648000,2023-07-05
"35","bronx","Baychester","01 One Family Dwellings","1",4743,121,"A5","3339 Eastchester Road",NA,10469,1,0,1,1800,1620,1950,"1","A5",489999,2023-08-03
"36","bronx","Baychester","01 One Family Dwellings","1",4744,43,"A5","3324 Eastchester Road",NA,10469,1,0,1,2300,1360,1960,"1","A5",365000,2023-02-22
"37","bronx","Baychester","01 One Family Dwellings","1",4744,43,"A5","3324 Eastchester Road",NA,10469,1,0,1,2300,1360,1960,"1","A5",636000,2023-06-09
"38","bronx","Baychester","01 One Family Dwellings","1",4745,59,"A1","3348 Mickle Avenue",NA,10469,1,0,1,1916,1071,1920,"1","A1",560000,2023-02-15
"39","bronx","Baychester","01 One Family Dwellings","1",4750,26,"A5","3323 Gunther Avenue",NA,10469,1,0,1,1710,1539,1950,"1","A5",360000,2023-11-02
"40","bronx","Baychester","01 One Family Dwellings","1",4761,3,"A2","1 Fox Terrace",NA,10469,1,0,1,1042,852,1935,"1","A2",360000,2023-03-22
"41","bronx","Baychester","01 One Family Dwellings","1",4764,43,"A2","3112 Mickle Ave",NA,10469,1,0,1,4750,1180,1899,"1","A2",4e+05,2023-04-07
"42","bronx","Baychester","01 One Family Dwellings","1",4768,52,"A1","3028 Kingsland Avenue",NA,10469,1,0,1,2375,1224,1910,"1","A1",125000,2023-04-10
"43","bronx","Baychester","01 One Family Dwellings","1",4774,10,"A1","3049 Wickham Avenue",NA,10469,1,0,1,3555,1643,1920,"1","A1",640000,2023-11-21
"44","bronx","Baychester","01 One Family Dwellings","1",4774,120,"A5","3027 Wickham Avenue",NA,10469,1,0,1,2660,1690,1950,"1","A5",661000,2023-05-25
"45","bronx","Baychester","01 One Family Dwellings","1",4775,31,"A5","3001 Bruner Avenue",NA,10469,1,0,1,1768,1384,1955,"1","A5",590000,2023-08-30
"46","bronx","Baychester","01 One Family Dwellings","1",4778,34,"A2","3108 Grace",NA,10469,1,0,1,3650,1268,1950,"1","A2",394250,2023-06-07
"47","bronx","Baychester","01 One Family Dwellings","1",4778,34,"A2","3108 Grace Avenue",NA,10469,1,0,1,3650,1268,1950,"1","A2",740000,2023-10-10
"48","bronx","Baychester","01 One Family Dwellings","1",4780,14,"A5","3033 Grace Avenue",NA,10469,1,0,1,2653,1368,1960,"1","A5",590000,2023-02-07
"49","bronx","Baychester","01 One Family Dwellings","1",4780,19,"A5","3021 Grace",NA,10469,1,0,1,2653,1260,1960,"1","A5",645000,2023-08-07
"50","bronx","Baychester","01 One Family Dwellings","1",4780,19,"A5","3021 Grace Avenue",NA,10469,1,0,1,2653,1260,1960,"1","A5",3e+05,2023-03-09
"51","bronx","Baychester","01 One Family Dwellings","1",4781,25,"A5","3035 Edson Avenue",NA,10469,1,0,1,1710,1674,1955,"1","A5",530000,2023-10-13
"52","bronx","Baychester","01 One Family Dwellings","1",4781,57,"A5","3028 Grace Avenue",NA,10469,1,0,1,1895,1920,1955,"1","A5",630000,2023-04-28
"53","bronx","Baychester","01 One Family Dwellings","1",4781,70,"A5","3050 Grace Avenue",NA,10469,1,0,1,1737,1116,1955,"1","A5",105000,2023-04-21
"54","bronx","Baychester","01 One Family Dwellings","1",4781,70,"A5","3050 Grace Avenue",NA,10469,1,0,1,1737,1116,1955,"1","A5",280000,2023-11-14
"55","bronx","Baychester","01 One Family Dwellings","1",4784,8,"A5","2947 Kingsland Avenue",NA,10469,1,0,1,1692,1534,1960,"1","A5",513000,2023-03-01
"56","bronx","Baychester","01 One Family Dwellings","1",4784,8,"A5","2947 Kingsland Avenue",NA,10469,1,0,1,1692,1534,1960,"1","A5",550000,2024-01-10
"57","bronx","Baychester","01 One Family Dwellings","1",4794,53,"A2","2848 Wickham Avenue",NA,10469,1,0,1,2375,1117,1935,"1","A2",410000,2023-09-18
"58","bronx","Baychester","01 One Family Dwellings","1",4795,36,"A5","2814 Bruner Avenue",NA,10469,1,0,1,1706,1732,1965,"1","A5",350000,2024-01-23
"59","bronx","Baychester","01 One Family Dwellings","1",4880,19,"A1","3235 Baychester Avenue",NA,10469,1,0,1,2500,1526,1920,"1","A1",639000,2023-11-28
"60","bronx","Baychester","01 One Family Dwellings","1",4882,132,"A5","3386 Ely Avenue",NA,10469,1,0,1,1615,1360,1901,"1","A5",510000,2023-07-11
"61","bronx","Baychester","01 One Family Dwellings","1",4884,18,"A1","3457 Ely Avenue",NA,10469,1,0,1,2375,844,1930,"1","A1",605000,2023-06-30
"62","bronx","Baychester","01 One Family Dwellings","1",4884,33,"A1","3403 Ely Avenue",NA,10469,1,0,1,2660,828,1930,"1","A1",505000,2023-09-01
"63","bronx","Baychester","01 One Family Dwellings","1",4893,27,"A1","3545 Edson Avenue",NA,10466,1,0,1,5600,2264,1920,"1","A1",780000,2023-03-08
"64","bronx","Baychester","01 One Family Dwellings","1",4898,145,"A5","1814 Schieffelin Avenue",NA,10466,1,0,1,1800,1674,1955,"1","A5",377400,2023-06-15
"65","bronx","Baychester","01 One Family Dwellings","1",4905,31,"A1","1286 East 229 Street",NA,10466,1,0,1,3150,1856,1965,"1","A1",585000,2023-05-16
"66","bronx","Baychester","01 One Family Dwellings","1",4934,20,"A5","1157 Grenada Place",NA,10466,1,0,1,1962,1188,1940,"1","A5",310000,2023-04-24
"67","bronx","Baychester","01 One Family Dwellings","1",4934,20,"A5","1157 Grenada Place",NA,10466,1,0,1,1962,1188,1940,"1","A5",615000,2023-08-15
"68","bronx","Baychester","01 One Family Dwellings","1",4934,21,"A5","1155 Grenada Place",NA,10466,1,0,1,1926,1188,1940,"1","A5",555000,2023-04-24
"69","bronx","Baychester","01 One Family Dwellings","1",4939,17,"A5","3871 Amundson Avenue",NA,10466,1,0,1,1800,1701,1957,"1","A5",550000,2023-02-08
"70","bronx","Baychester","01 One Family Dwellings","1",4945,82,"A1","1468 East 233 Street",NA,10466,1,0,1,2289,1788,1925,"1","A1",380000,2023-02-02
"71","bronx","Baychester","01 One Family Dwellings","1",4945,82,"A1","1468 East 233rd",NA,10466,1,0,1,2289,1788,1925,"1","A1",660000,2023-08-18
"72","bronx","Baychester","01 One Family Dwellings","1",4945,95,"A1","2121 Garrett Place",NA,10466,1,0,1,2658,1130,1930,"1","A1",3e+05,2023-12-26
"73","bronx","Baychester","01 One Family Dwellings","1",4946,41,"B3","2179 Light Street",NA,10466,2,0,2,3500,2616,1930,"1","A2",1120000,2023-06-02
"74","bronx","Baychester","01 One Family Dwellings","1",4951,71,"A1","3716 Rombouts Ave",NA,10466,1,0,1,2500,1217,1925,"1","A1",550000,2023-08-02
"75","bronx","Baychester","01 One Family Dwellings","1",4952,43,"A1","2288 Light Street",NA,10466,1,0,1,3000,1246,1925,"1","A1",472500,2023-05-10
"76","bronx","Baychester","01 One Family Dwellings","1",4958,72,"A5","1341 East 233 Street",NA,10466,1,0,1,1659,1152,1959,"1","A5",540000,2023-03-17
"77","bronx","Baychester","01 One Family Dwellings","1",4958,77,"A5","1331 East 233 Street",NA,10466,1,0,1,1692,1728,1960,"1","A5",490000,2023-08-17
"78","bronx","Baychester","01 One Family Dwellings","1",4960,54,"A2","3957 Seton Avenue",NA,10466,1,0,1,3750,1356,1930,"1","A2",540000,2023-06-29
"79","bronx","Baychester","01 One Family Dwellings","1",4964,28,"A1","3924 Pratt Avenue",NA,10466,1,0,1,2808,1938,1925,"1","A1",580000,2023-04-17
"80","bronx","Baychester","01 One Family Dwellings","1",4970,3,"A2","4039 Rombouts Avenue",NA,10466,1,0,1,3220,1286,1945,"1","A2",955000,2023-05-03
"81","bronx","Baychester","01 One Family Dwellings","1",4970,6,"A1","4031 Rombouts Avenue",NA,10466,1,0,1,2760,1056,1925,"1","A1",540000,2023-04-03
"82","bronx","Baychester","01 One Family Dwellings","1",4971,16,"A2","3966 Rombouts Avenue",NA,10466,1,0,1,2076,1114,1932,"1","A2",437000,2023-04-27
"83","bronx","Baychester","01 One Family Dwellings","1",4971,32,"A1","4000 Rombouts Avenue",NA,10466,1,0,1,6554,1255,1930,"1","A1",605000,2023-11-02
"84","bronx","Baychester","01 One Family Dwellings","1",4977,40,"A1","4061 Bruner Avenue",NA,10466,1,0,1,2500,1148,1930,"1","A1",350000,2023-02-02
"85","bronx","Baychester","01 One Family Dwellings","1",4977,40,"A1","4061 Bruner Avenue",NA,10466,1,0,1,2500,1148,1930,"1","A1",605000,2023-06-26
"86","bronx","Baychester","01 One Family Dwellings","1",4978,68,"A5","4039 Ely Ave",NA,10466,1,0,1,1629,1584,1950,"1","A5",292500,2024-01-30
"87","bronx","Baychester","01 One Family Dwellings","1",4979,9,"A5","4028 Ely Avenue",NA,10466,1,0,1,1710,1152,1940,"1","A5",6e+05,2023-12-11
"88","bronx","Baychester","01 One Family Dwellings","1",4979,26,"A5","4062 Ely Avenue",NA,10466,1,0,1,2573,1152,1940,"1","A5",427000,2023-09-20
"89","bronx","Baychester","01 One Family Dwellings","1",4979,39,"A5","4088 Ely Avenue",NA,10466,1,0,1,1710,1152,1940,"1","A5",515000,2023-07-26
"90","bronx","Baychester","01 One Family Dwellings","1",4979,85,"A5","4031 Grace Avenue",NA,10466,1,0,1,2605,1260,1950,"1","A5",355000,2023-12-07
"91","bronx","Baychester","01 One Family Dwellings","1",4983,53,"A5","2048 Edenwald Avenue",NA,10466,1,0,1,2200,1260,1950,"1","A5",315000,2023-07-20
"92","bronx","Baychester","01 One Family Dwellings","1",4984,55,"A5","4073 Murdock Ave",NA,10466,1,0,1,2600,1944,1920,"1","A5",669000,2023-08-18
"93","bronx","Baychester","01 One Family Dwellings","1",4987,56,"A1","4051 Seton Avenue",NA,10466,1,0,1,5000,1404,1931,"1","A1",665000,2023-04-27
"94","bronx","Baychester","01 One Family Dwellings","1",4990,55,"A5","2205 Strang Avenue",NA,10466,1,0,1,2619,1925,1950,"1","A5",645000,2023-03-20
"95","bronx","Baychester","01 One Family Dwellings","1",5134,41,"A2","2338 Palmer Avenue",NA,10475,1,0,1,2375,1804,1934,"1","A2",442000,2023-09-22
"96","bronx","Baychester","01 One Family Dwellings","1",5227,45,"A1","3360 De Reimer Avenue",NA,10475,1,0,1,3750,1712,1956,"1","A1",747000,2023-11-22
"97","bronx","Baychester","01 One Family Dwellings","1",5653,5,"A2","3410 Ropes Avenue",NA,10475,1,0,1,2500,1206,1920,"1","A2",463500,2023-03-08
"98","bronx","Baychester","01 One Family Dwellings","1",5653,88,"A2","2562 Flint Avenue",NA,10475,1,0,1,2926,696,1940,"1","A2",360000,2023-08-16
"99","bronx","Baychester","01 One Family Dwellings","1",5653,100,"A2","2580 Flint Avenue",NA,10475,1,0,1,3772,560,1940,"1","A2",740000,2024-01-09
"100","bronx","Baychester","01 One Family Dwellings","1",5654,326,"A2","3449 Mcowen Avenue",NA,10475,1,0,1,4500,750,1950,"1","A2",560000,2023-10-16
"101","bronx","Baychester","02 Two Family Dwellings","1",4708,57,"B1","1134 East 214th Street",NA,10469,2,0,2,1876,2018,1945,"1","B1",649000,2023-12-22
"102","bronx","Baychester","02 Two Family Dwellings","1",4717,90,"B9","1479 Needham Avenue",NA,10469,2,0,2,1741,1912,1958,"1","B9",7e+05,2023-09-13
"103","bronx","Baychester","02 Two Family Dwellings","1",4725,14,"B1","1484 Needham Ave",NA,10469,2,0,2,1710,1939,1955,"1","B1",670000,2023-08-08
"104","bronx","Baychester","02 Two Family Dwellings","1",4725,32,"B1","1470 Needham Ave",NA,10469,2,0,2,2375,2106,1955,"1","B1",640000,2023-04-14
"105","bronx","Baychester","02 Two Family Dwellings","1",4729,73,"B1","3416 Tiemann Avenue",NA,10469,2,0,2,2534,2160,1950,"1","B1",845000,2024-01-10
"106","bronx","Baychester","02 Two Family Dwellings","1",4732,32,"B3","3319 Pearsall Avenue",NA,10469,2,0,2,5000,2497,1940,"1","B3",695000,2023-03-10
"107","bronx","Baychester","02 Two Family Dwellings","1",4733,41,"B1","3330 Pearsall Ave",NA,10469,2,0,2,2500,2079,1955,"1","B1",650000,2023-02-24
"108","bronx","Baychester","02 Two Family Dwellings","1",4738,64,"B1","3368 Fenton Avenue",NA,10469,2,0,2,2900,3550,1935,"1","B1",785000,2023-02-27
"109","bronx","Baychester","02 Two Family Dwellings","1",4743,160,"B3","3362 Corsa Avenue",NA,10469,2,0,2,2000,2385,1950,"1","B3",780000,2023-02-15
"110","bronx","Baychester","02 Two Family Dwellings","1",4746,38,"B3","3226 Corsa Avenue",NA,10469,2,0,2,1800,1260,1950,"1","B3",725000,2023-02-22
"111","bronx","Baychester","02 Two Family Dwellings","1",4752,120,"B1","3203 Gunther Avenue",NA,10469,2,0,2,1900,2620,1970,"1","B1",725000,2023-08-18
"112","bronx","Baychester","02 Two Family Dwellings","1",4753,60,"B1","3318 Wickham Avenue",NA,10469,2,0,2,2090,3034,1970,"1","B1",770000,2023-04-11
"113","bronx","Baychester","02 Two Family Dwellings","1",4755,30,"B1","3215 Bruner Avenue",NA,10469,2,0,2,2880,2585,1970,"1","B1",5e+05,2024-01-19
"114","bronx","Baychester","02 Two Family Dwellings","1",4755,36,"B1","3203 Bruner Avenue",NA,10469,2,0,2,1920,2820,1970,"1","B1",725000,2023-12-05
"115","bronx","Baychester","02 Two Family Dwellings","1",4759,56,"B1","3178 Fish Avenue",NA,10469,2,0,2,2533,3261,1950,"1","B1",253749,2023-09-05
"116","bronx","Baychester","02 Two Family Dwellings","1",4762,70,"B3","3066 Fenton Avenue",NA,10469,2,0,2,1375,1432,1931,"1","B3",550000,2023-10-02
"117","bronx","Baychester","02 Two Family Dwellings","1",4763,16,"B3","3145 Mickle Avenue",NA,10469,2,0,2,1924,1792,1950,"1","B3",525000,2023-12-12
"118","bronx","Baychester","02 Two Family Dwellings","1",4763,135,"B1","1521 Hammersley Ave",NA,10469,2,0,2,1805,1852,1950,"1","B1",635000,2023-08-04
"119","bronx","Baychester","02 Two Family Dwellings","1",4764,6,"B3","1620 Burke Avenue",NA,10469,2,0,2,3830,1584,1930,"1","B3",920000,2023-05-31
"120","bronx","Baychester","02 Two Family Dwellings","1",4764,27,"B2","3111 Kingsland Avenue",NA,10469,2,0,2,4758,1183,1920,"1","B2",540000,2023-04-17
"121","bronx","Baychester","02 Two Family Dwellings","1",4767,31,"B3","1609 Adee Avenue",NA,10469,2,0,2,2500,1944,1960,"1","B3",784053,2023-10-24
"122","bronx","Baychester","02 Two Family Dwellings","1",4768,49,"B2","3024 Kingsland Avenue",NA,10469,2,0,2,3555,2652,2021,"1","B2",1200000,2023-05-19
"123","bronx","Baychester","02 Two Family Dwellings","1",4778,151,"B1","3142 Grace Avenue",NA,10469,2,0,2,1710,2430,2004,"1","B1",890000,2024-01-26
"124","bronx","Baychester","02 Two Family Dwellings","1",4779,32,"B3","3105 New England Thruway",NA,10469,2,0,2,2816,1920,1965,"1","B3",75000,2023-04-17
"125","bronx","Baychester","02 Two Family Dwellings","1",4787,12,"B2","2841 Tiemann Ave",NA,10469,2,0,2,6325,2127,1925,"1","B2",780000,2023-05-11
"126","bronx","Baychester","02 Two Family Dwellings","1",4794,134,"B1","2802 Wickham Avenue",NA,10469,2,0,2,3199,2974,2005,"1","B1",880000,2023-08-16
"127","bronx","Baychester","02 Two Family Dwellings","1",4885,72,"B1","3452 Ely Avenue",NA,10469,2,0,2,2375,2227,1920,"1","B1",762000,2023-11-09
"128","bronx","Baychester","02 Two Family Dwellings","1",4887,80,"B1","3420 Edson Avenue",NA,10469,2,0,2,4558,2200,1970,"1","B1",8e+05,2023-04-28
"129","bronx","Baychester","02 Two Family Dwellings","1",4897,8,"B9","1267 East 222 Street",NA,10469,2,0,2,1800,1890,1950,"1","B9",645000,2023-08-28
"130","bronx","Baychester","02 Two Family Dwellings","1",4898,58,"B1","1228 East 224 Street",NA,10466,2,0,2,2500,2500,1960,"1","B1",750000,2023-02-10
"131","bronx","Baychester","02 Two Family Dwellings","1",4903,66,"B1","1136 East 225 Street",NA,10466,2,0,2,1936,1905,1950,"1","B1",750000,2023-08-14
"132","bronx","Baychester","02 Two Family Dwellings","1",4903,81,"B1","1172 East 225th Street",NA,10466,2,0,2,1934,1912,1950,"1","B1",656900,2023-06-12
"133","bronx","Baychester","02 Two Family Dwellings","1",4903,90,"B1","1843 Schieffelin Avenue",NA,10466,2,0,2,1643,1792,1950,"1","B1",510000,2023-07-10
"134","bronx","Baychester","02 Two Family Dwellings","1",4903,91,"B1","1841 Schieffelin Avenue",NA,10466,2,0,2,1643,1792,1950,"1","B1",695000,2023-10-17
"135","bronx","Baychester","02 Two Family Dwellings","1",4921,65,"B3","3640 Palmer Avenue",NA,10466,2,0,2,5017,2440,1938,"1","B3",492500,2023-02-02
"136","bronx","Baychester","02 Two Family Dwellings","1",4924,28,"B1","2104 Needham Avenue",NA,10466,2,0,2,1457,2721,2006,"1","B1",795000,2023-11-03
"137","bronx","Baychester","02 Two Family Dwellings","1",4924,125,"B2","3508 Boller Avenue",NA,10466,2,0,2,2086,3076,2010,"1","B2",860000,2023-06-21
"138","bronx","Baychester","02 Two Family Dwellings","1",4929,68,"B1","1109 East 231st Street",NA,10466,2,0,2,2407,1952,1955,"1","B1",635000,2023-11-28
"139","bronx","Baychester","02 Two Family Dwellings","1",4929,138,"B1","1116 East 232 Street",NA,10466,2,0,2,2407,1996,1955,"1","B1",649000,2023-02-07
"140","bronx","Baychester","02 Two Family Dwellings","1",4941,45,"B2","3669 Varian Ave",NA,10466,2,0,2,3263,2270,1999,"1","B2",885000,2023-08-01
"141","bronx","Baychester","02 Two Family Dwellings","1",4945,1,"B3","3699 Harper Avenue",NA,10466,2,0,2,2814,1324,1930,"1","B3",640000,2023-11-21
"142","bronx","Baychester","02 Two Family Dwellings","1",4945,72,"B1","1452 East 233rd",NA,10466,2,0,2,1900,2280,1952,"1","B1",785000,2023-05-11
"143","bronx","Baychester","02 Two Family Dwellings","1",4955,53,"B9","3915 Dereimer Avenue",NA,10466,2,0,2,1710,1672,1959,"1","B9",530000,2023-06-13
"144","bronx","Baychester","02 Two Family Dwellings","1",4957,67,"B1","1315 E 233rd St",NA,10466,2,0,2,1422,1888,1961,"1","B1",1e+05,2023-11-13
"145","bronx","Baychester","02 Two Family Dwellings","1",4958,38,"B3","2082 Strang Avenue",NA,10466,2,0,2,2500,1600,1930,"1","B3",9e+05,2023-02-23
"146","bronx","Baychester","02 Two Family Dwellings","1",4961,156,"B1","3939 Amundson Ave",NA,10466,2,0,2,2500,2328,2007,"1","B1",965000,2023-12-11
"147","bronx","Baychester","02 Two Family Dwellings","1",4961,156,"B1","3939 Amundson Avenue",NA,10466,2,0,2,2500,2328,2007,"1","B1",670000,2023-07-21
"148","bronx","Baychester","02 Two Family Dwellings","1",4964,18,"B1","3904 Pratt Avenue",NA,10466,2,0,2,2709,2695,1961,"1","B1",775000,2023-02-02
"149","bronx","Baychester","02 Two Family Dwellings","1",4966,22,"B1","4028 Pratt Avenue",NA,10466,2,0,2,5000,1512,1925,"1","B1",779000,2023-11-15
"150","bronx","Baychester","02 Two Family Dwellings","1",4978,1,"B1","1071 East 233 Street",NA,10466,2,0,2,1816,1831,1955,"1","B1",750000,2023-12-27
"151","bronx","Baychester","02 Two Family Dwellings","1",4982,2,"B1","4016 Baychester Avenue",NA,10466,2,0,2,1700,2280,1965,"1","B1",787500,2023-10-19
"152","bronx","Baychester","02 Two Family Dwellings","1",4983,9,"B1","4028 De Reimer Avenue",NA,10466,2,0,2,1868,1900,1955,"1","B1",742000,2023-07-12
"153","bronx","Baychester","02 Two Family Dwellings","1",4983,100,"B1","2031 Strang Avenue",NA,10466,2,0,2,2458,1872,1950,"1","B1",755000,2023-07-12
"154","bronx","Baychester","02 Two Family Dwellings","1",4985,90,"B1","2087 Strang Avenue",NA,10466,2,0,2,2400,2782,1960,"1","B1",970000,2023-07-19
"155","bronx","Baychester","02 Two Family Dwellings","1",4987,67,"B1","4025 Seton Avenue",NA,10466,2,0,2,3100,3232,1971,"1","B1",9e+05,2023-03-17
"156","bronx","Baychester","02 Two Family Dwellings","1",4988,27,"B3","4076 Seton Avenue",NA,10466,2,0,2,5000,2224,1901,"1","B3",880000,2023-06-15
"157","bronx","Baychester","02 Two Family Dwellings","1",5134,26,"B3","2211 Boller Avenue",NA,10475,2,0,2,2375,1080,1910,"1","B3",675000,2023-09-12
"158","bronx","Baychester","02 Two Family Dwellings","1",5226,14,"B1","3349 De Reimer Avenue",NA,10475,2,0,2,2000,1800,1959,"1","B1",699000,2023-05-19
"159","bronx","Baychester","02 Two Family Dwellings","1",5226,26,"B1","2017 Givan Ave",NA,10475,2,0,2,1983,2023,1960,"1","B1",809000,2023-10-10
"160","bronx","Baychester","02 Two Family Dwellings","1",5226,26,"B1","2017 Givan Avenue",NA,10475,2,0,2,1983,2023,1960,"1","B1",575000,2023-05-17
"161","bronx","Baychester","02 Two Family Dwellings","1",5228,51,"B2","3340 Palmer Ave",NA,10475,2,0,2,4000,3486,2022,"1","B2",1323725,2023-07-14
"162","bronx","Baychester","02 Two Family Dwellings","1",5232,26,"B2","3296 Boller Avenue",NA,10475,2,0,2,1826,2160,2005,"1","B2",484185,2023-05-30
"163","bronx","Baychester","02 Two Family Dwellings","1",5232,51,"B1","3306 Boller Avenue",NA,10475,2,0,2,5000,945,1945,"1","B1",205000,2023-03-08
"164","bronx","Baychester","02 Two Family Dwellings","1",5232,53,"B1","3310 Boller Avenue",NA,10475,2,0,2,5000,984,1925,"1","B1",395000,2023-12-27
"165","bronx","Baychester","02 Two Family Dwellings","1",5263,342,"B2","3414 Hunter Avenue",NA,10475,2,0,2,3300,3276,2017,"1","B2",870000,2023-11-20
"166","bronx","Baychester","02 Two Family Dwellings","1",5653,14,"B1","2580 Hollers Avenue",NA,10475,2,0,2,4925,1668,1940,"1","B1",535000,2023-03-21
"167","bronx","Baychester","02 Two Family Dwellings","1",5653,14,"B1","2580 Hollers Avenue",NA,10475,2,0,2,4925,1668,1940,"1","B1",650000,2023-12-15
